,id,tf
666,ZBT48_HUMAN.H11MO.0.C,ZBTB48
667,ZBT49_HUMAN.H11MO.0.D,ZBTB49
668,ZBT7A_HUMAN.H11MO.0.A,ZBTB7A
669,ZBT7B_HUMAN.H11MO.0.D,ZBTB7B
670,ZBTB4_HUMAN.H11MO.0.D,ZBTB4
671,ZBTB4_HUMAN.H11MO.1.D,ZBTB4
672,ZBTB6_HUMAN.H11MO.0.C,ZBTB6
673,ZEB1_HUMAN.H11MO.0.A,ZEB1
674,ZEP1_HUMAN.H11MO.0.D,HIVEP1
675,ZEP2_HUMAN.H11MO.0.D,HIVEP2
676,ZF64A_HUMAN.H11MO.0.D,ZFP64
677,ZFHX3_HUMAN.H11MO.0.D,ZFHX3
678,ZFP28_HUMAN.H11MO.0.C,ZFP28
679,ZFP42_HUMAN.H11MO.0.A,ZFP42
680,ZFP82_HUMAN.H11MO.0.C,ZFP82
681,ZFX_HUMAN.H11MO.0.A,ZFX
682,ZFX_HUMAN.H11MO.1.A,ZFX
683,ZIC1_HUMAN.H11MO.0.B,ZIC1
684,ZIC2_HUMAN.H11MO.0.D,ZIC2
685,ZIC3_HUMAN.H11MO.0.B,ZIC3
686,ZIC4_HUMAN.H11MO.0.D,ZIC4
687,ZIM3_HUMAN.H11MO.0.C,ZIM3
688,ZKSC1_HUMAN.H11MO.0.B,ZKSCAN1
689,ZKSC3_HUMAN.H11MO.0.D,ZKSCAN3
690,ZN121_HUMAN.H11MO.0.C,ZNF121
691,ZN134_HUMAN.H11MO.0.C,ZNF134
692,ZN134_HUMAN.H11MO.1.C,ZNF134
693,ZN136_HUMAN.H11MO.0.C,ZNF136
694,ZN140_HUMAN.H11MO.0.C,ZNF140
695,ZN143_HUMAN.H11MO.0.A,ZNF143
696,ZN148_HUMAN.H11MO.0.D,ZNF148
697,ZN214_HUMAN.H11MO.0.C,ZNF214
698,ZN219_HUMAN.H11MO.0.D,ZNF219
699,ZN232_HUMAN.H11MO.0.D,ZNF232
700,ZN250_HUMAN.H11MO.0.C,ZNF250
701,ZN257_HUMAN.H11MO.0.C,ZNF257
702,ZN260_HUMAN.H11MO.0.C,ZNF260
703,ZN263_HUMAN.H11MO.0.A,ZNF263
704,ZN263_HUMAN.H11MO.1.A,ZNF263
705,ZN264_HUMAN.H11MO.0.C,ZNF264
706,ZN274_HUMAN.H11MO.0.A,ZNF274
707,ZN281_HUMAN.H11MO.0.A,ZNF281
708,ZN282_HUMAN.H11MO.0.D,ZNF282
709,ZN317_HUMAN.H11MO.0.C,ZNF317
710,ZN320_HUMAN.H11MO.0.C,ZNF320
711,ZN322_HUMAN.H11MO.0.B,ZNF322
712,ZN329_HUMAN.H11MO.0.C,ZNF329
713,ZN331_HUMAN.H11MO.0.C,ZNF331
714,ZN333_HUMAN.H11MO.0.D,ZNF333
715,ZN335_HUMAN.H11MO.0.A,ZNF335
716,ZN335_HUMAN.H11MO.1.A,ZNF335
717,ZN341_HUMAN.H11MO.0.C,ZNF341
718,ZN341_HUMAN.H11MO.1.C,ZNF341
719,ZN350_HUMAN.H11MO.0.C,ZNF350
720,ZN350_HUMAN.H11MO.1.D,ZNF350
721,ZN382_HUMAN.H11MO.0.C,ZNF382
722,ZN384_HUMAN.H11MO.0.C,ZNF384
723,ZN394_HUMAN.H11MO.0.C,ZNF394
724,ZN394_HUMAN.H11MO.1.D,ZNF394
725,ZN410_HUMAN.H11MO.0.D,ZNF410
726,ZN418_HUMAN.H11MO.0.C,ZNF418
727,ZN418_HUMAN.H11MO.1.D,ZNF418
728,ZN423_HUMAN.H11MO.0.D,ZNF423
729,ZN436_HUMAN.H11MO.0.C,ZNF436
730,ZN449_HUMAN.H11MO.0.C,ZNF449
731,ZN467_HUMAN.H11MO.0.C,ZNF467
732,ZN490_HUMAN.H11MO.0.C,ZNF490
733,ZN502_HUMAN.H11MO.0.C,ZNF502
734,ZN524_HUMAN.H11MO.0.D,ZNF524
735,ZN528_HUMAN.H11MO.0.C,ZNF528
736,ZN547_HUMAN.H11MO.0.C,ZNF547
737,ZN549_HUMAN.H11MO.0.C,ZNF549
738,ZN554_HUMAN.H11MO.0.C,ZNF554
739,ZN554_HUMAN.H11MO.1.D,ZNF554
740,ZN563_HUMAN.H11MO.0.C,ZNF563
741,ZN563_HUMAN.H11MO.1.C,ZNF563
742,ZN582_HUMAN.H11MO.0.C,ZNF582
743,ZN586_HUMAN.H11MO.0.C,ZNF586
744,ZN589_HUMAN.H11MO.0.D,ZNF589
745,ZN652_HUMAN.H11MO.0.D,ZNF652
746,ZN667_HUMAN.H11MO.0.C,ZNF667
747,ZN680_HUMAN.H11MO.0.C,ZNF680
748,ZN708_HUMAN.H11MO.0.C,ZNF708
749,ZN708_HUMAN.H11MO.1.D,ZNF708
750,ZN713_HUMAN.H11MO.0.D,ZNF713
751,ZN740_HUMAN.H11MO.0.D,ZNF740
752,ZN768_HUMAN.H11MO.0.C,ZNF768
753,ZN770_HUMAN.H11MO.0.C,ZNF770
754,ZN770_HUMAN.H11MO.1.C,ZNF770
755,ZN784_HUMAN.H11MO.0.D,ZNF784
756,ZN816_HUMAN.H11MO.0.C,ZNF816
757,ZN816_HUMAN.H11MO.1.C,ZNF816
758,ZNF18_HUMAN.H11MO.0.C,ZNF18
759,ZNF41_HUMAN.H11MO.0.C,ZNF41
760,ZNF41_HUMAN.H11MO.1.C,ZNF41
761,ZNF76_HUMAN.H11MO.0.C,ZNF76
762,ZNF85_HUMAN.H11MO.0.C,ZNF85
763,ZNF85_HUMAN.H11MO.1.C,ZNF85
764,ZNF8_HUMAN.H11MO.0.C,ZNF8-ERVK3-1
765,ZSC16_HUMAN.H11MO.0.D,ZSCAN16
766,ZSC22_HUMAN.H11MO.0.C,ZSCAN22
767,ZSC31_HUMAN.H11MO.0.C,ZSCAN31
768,ZSCA4_HUMAN.H11MO.0.D,ZSCAN4
